filename,x,y,width,height
exc_001.png,255,323,47,49
exc_002.png,284,287,40,50
exc_003.png,296,286,52,33
exc_004.png,245,340,31,45
exc_005.png,297,269,63,31
exc_006.png,308,241,57,34
exc_007.png,297,222,68,41
exc_008.png,301,204,53,42
exc_009.png,322,144,37,63
exc_010.png,284,188,60,54
exc_011.png,276,185,62,46
exc_012.png,275,168,59,41
exc_013.png,262,147,76,49
exc_014.png,288,125,49,53
exc_015.png,260,133,51,50
exc_016.png,257,123,67,43
exc_017.png,284,105,43,35
exc_018.png,298,85,33,50
exc_019.png,268,95,43,51
exc_020.png,267,76,38,52
exc_021.png,283,59,30,37
exc_022.png,268,60,35,35
exc_023.png,243,33,50,37
exc_024.png,243,52,38,51
exc_025.png,204,30,51,20
exc_026.png,210,38,48,36
exc_027.png,202,45,43,45
exc_028.png,225,58,38,37
exc_029.png,237,77,31,53
exc_030.png,201,67,42,41
exc_031.png,214,80,38,39
exc_032.png,251,88,31,38
exc_033.png,241,110,48,29
exc_034.png,248,124,37,31
exc_035.png,199,83,58,64
exc_036.png,216,121,44,37
exc_037.png,201,132,40,40
exc_038.png,222,132,51,38
exc_039.png,228,146,46,34
exc_040.png,322,200,44,43
exc_041.png,200,153,56,35
exc_042.png,230,162,55,30
exc_043.png,217,168,57,32
exc_044.png,314,258,50,31
exc_045.png,321,287,35,44
exc_046.png,298,317,41,42
exc_047.png,283,325,28,45
exc_048.png,263,305,41,56
exc_049.png,261,339,30,38
exc_050.png,238,309,35,48
exc_051.png,250,286,58,39
exc_052.png,272,263,43,41
exc_053.png,219,350,43,35
exc_054.png,187,355,43,29
exc_055.png,161,343,31,34
exc_056.png,133,324,41,50
exc_057.png,125,352,51,28
exc_058.png,98,344,39,29
exc_059.png,77,332,38,29
exc_060.png,54,310,47,36
exc_061.png,40,281,37,41
exc_062.png,31,252,39,64
exc_063.png,31,226,30,39
exc_064.png,36,191,25,45
exc_065.png,46,149,35,55
exc_066.png,62,111,27,47
exc_067.png,79,88,35,45
exc_068.png,90,51,44,43
exc_069.png,120,35,39,39
exc_070.png,154,31,51,41
exc_071.png,104,64,68,42
exc_072.png,92,88,41,57
exc_073.png,159,94,40,41
exc_074.png,242,171,123,156
exc_075.png,276,222,55,52
exc_076.png,195,204,48,59
exc_077.png,206,267,49,49
exc_078.png,201,311,56,66
exc_079.png,124,227,74,51
exc_080.png,103,310,41,47
exc_081.png,50,277,59,38
exc_082.png,46,194,42,38
exc_083.png,103,168,50,38
exc_084.png,156,139,48,44
exc_085.png,69,122,52,40
exc_086.png,118,85,41,39
exc_087.png,155,53,51,42
exc_088.png,66,86,120,148
exc_089.png,128,162,55,47
exc_090.png,204,169,44,38
exc_091.png,156,200,42,59
exc_092.png,100,234,49,37
exc_093.png,39,238,61,48
exc_094.png,56,295,73,38
exc_095.png,128,295,39,57
exc_096.png,193,287,35,40
exc_097.png,212,202,39,56
exc_098.png,230,295,43,44
exc_099.png,263,243,57,35
exc_100.png,245,190,47,44
exc_101.png,71,132,55,43
exc_102.png,152,110,33,61
exc_103.png,144,70,42,58
exc_104.png,50,213,60,34
exc_105.png,95,199,50,38
exc_106.png,67,252,57,42
exc_107.png,117,265,43,65
exc_108.png,192,313,52,55
exc_109.png,157,161,46,67
exc_110.png,201,184,61,35
exc_111.png,230,259,57,36
exc_112.png,239,210,65,36
exc_113.png,105,129,50,43
exc_114.png,141,83,57,51
exc_115.png,149,309,51,49
exc_116.png,145,261,52,38
exc_117.png,202,237,61,44
exc_118.png,224,258,93,53
exc_119.png,205,314,46,41
exc_120.png,66,251,67,43
exc_121.png,147,178,52,62
exc_122.png,203,184,60,35
exc_123.png,254,211,52,42
exc_124.png,106,126,52,58
exc_125.png,128,86,56,52
exc_126.png,135,116,36,37
exc_127.png,146,161,53,33
exc_128.png,88,226,64,36
exc_129.png,98,280,57,47
exc_130.png,148,287,49,42
exc_131.png,186,312,35,55
exc_132.png,234,243,51,57
exc_133.png,202,191,67,35
exc_134.png,47,224,56,38
exc_135.png,106,250,54,36
exc_136.png,108,214,57,33
exc_137.png,77,163,53,33
exc_138.png,121,133,48,37
exc_139.png,55,286,39,28
exc_140.png,123,288,39,47
exc_141.png,191,249,49,49
exc_142.png,217,202,61,33
exc_143.png,242,230,53,38
exc_144.png,322,236,40,21
exc_145.png,211,288,43,47
exc_146.png,307,304,34,38
exc_147.png,79,113,33,29
exc_148.png,228,92,35,53
exc_149.png,299,157,41,36
exc_150.png,171,66,37,70
exc_151.png,134,47,54,32
exc_152.png,89,31,161,256
exc_153.png,271,47,30,36
exc_154.png,216,72,47,35
exc_155.png,208,116,25,38
exc_156.png,253,95,47,75
exc_157.png,148,68,37,27
exc_158.png,93,41,53,51
exc_159.png,98,123,29,39
exc_160.png,58,114,31,64
exc_161.png,134,143,60,40
exc_162.png,120,188,31,48
exc_163.png,215,166,42,25
exc_164.png,301,127,40,34
exc_165.png,279,172,55,44
exc_166.png,226,211,51,31
exc_167.png,312,216,48,31
exc_168.png,145,215,32,30
exc_169.png,79,181,52,30
exc_170.png,36,196,39,34
exc_171.png,52,215,42,24
exc_172.png,39,254,43,34
exc_173.png,72,264,29,23
exc_174.png,107,264,55,30
exc_175.png,233,275,27,50
exc_176.png,270,282,47,25
exc_177.png,39,278,48,36
exc_178.png,74,313,38,31
exc_179.png,122,313,26,48
exc_180.png,170,325,32,38
exc_181.png,221,330,41,40
exc_182.png,307,305,28,46
exc_183.png,141,163,37,29
exc_184.png,98,246,37,21
exc_185.png,210,45,33,26
exc_186.png,282,98,38,42
exc_187.png,207,208,34,18
exc_188.png,312,198,41,29
exc_189.png,119,276,33,18
exc_190.png,151,247,33,18
exc_191.png,280,171,44,24
exc_192.png,198,130,16,65
exc_193.png,198,233,16,31
exc_194.png,71,187,49,31
exc_195.png,240,228,43,24
exc_196.png,100,112,21,49
exc_197.png,246,37,47,43
exc_198.png,265,139,43,31
exc_199.png,136,207,25,27
exc_200.png,155,67,34,23
exc_201.png,70,281,38,26
exc_202.png,105,322,22,41
exc_203.png,150,298,43,29
exc_204.png,203,310,25,28
exc_205.png,240,355,25,25
exc_206.png,261,306,37,24
exc_207.png,301,282,50,18
exc_208.png,239,231,23,25
exc_209.png,213,126,55,43
exc_210.png,261,323,23,30
exc_211.png,305,257,42,16
exc_212.png,184,191,27,67
exc_213.png,143,279,35,24
exc_214.png,139,186,33,34
exc_215.png,274,150,50,25
